App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Microsoft Outlook,PRODUCTIVITY,4.3,3252896,50M,"100,000,000+",Free,0,Everyone,Productivity,"August 2, 2018",2.2.194,4.4 and up
FotMob - Live Soccer Scores,SPORTS,4.7,410395,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"July 31, 2018",Varies with device,Varies with device
EO Guide,HEALTH_AND_FITNESS,,15,24M,"1,000+",Paid,$4.99,Everyone,Health & Fitness,"July 23, 2018",1.0.4,4.1 and up
FunForMobile Ringtones & Chat,SOCIAL,4.4,68358,7.2M,"5,000,000+",Free,0,Mature 17+,Social,"May 7, 2016",3.22,4.1 and up
Oral-B App,HEALTH_AND_FITNESS,3.3,14210,96M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 19, 2018",6.0.1,5.0 and up
EW Neuron Scan,TOOLS,,1,6.5M,10+,Free,0,Everyone,Tools,"January 31, 2018",1.6.2,5.0 and up
Bg TV Online,FAMILY,2.3,50,2.8M,"10,000+",Free,0,Everyone,Entertainment,"October 21, 2017",1.2,4.1 and up
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"July 31, 2018",7.7.9,4.2 and up
BBVA Spain,FINANCE,4.2,36746,Varies with device,"5,000,000+",Free,0,Everyone,Finance,"July 24, 2018",Varies with device,Varies with device
DT Smart,TOOLS,1.6,39,8.9M,"1,000+",Free,0,Everyone,Tools,"December 7, 2017",1.1.4,4.1 and up
The Vikings,GAME,4.4,15806,42M,"1,000,000+",Free,0,Teen,Arcade,"June 6, 2018",1.0.7,4.1 and up
ReadyOp DT,COMMUNICATION,4.6,8,1.1M,"1,000+",Free,0,Everyone,Communication,"July 6, 2018",1.0.56,2.3.3 and up
Telegram X,SOCIAL,4.6,70449,Varies with device,"5,000,000+",Free,0,Teen,Social,"July 27, 2018",Varies with device,Varies with device
Easy Origami Ideas,ART_AND_DESIGN,4.2,1015,11M,"100,000+",Free,0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up
DN Snacks,BUSINESS,,0,7.6M,1+,Free,0,Everyone,Business,"April 9, 2018",1.0.0,4.0 and up
Q-See QC View,TOOLS,3.1,657,21M,"100,000+",Free,0,Everyone,Tools,"January 19, 2018",3.49.0202,4.0.3 and up
DV 2019 Entry Guide,BOOKS_AND_REFERENCE,4.5,92,5.1M,"10,000+",Free,0,Everyone,Books & Reference,"October 18, 2017",2.0.0,4.1 and up
Chat Kids - Chat Room For Kids,DATING,4.7,6,4.9M,100+,Free,0,Mature 17+,Dating,"July 24, 2018",1.0,4.0.3 and up
Stats Royale for Clash Royale,BOOKS_AND_REFERENCE,4.5,68226,16M,"1,000,000+",Free,0,Everyone,Books & Reference,"August 6, 2018",1.9.1,4.2 and up
FK Liepaja,SPORTS,,4,26M,100+,Free,0,Everyone,Sports,"March 17, 2018",1.0,4.1 and up
Flow Free,GAME,4.3,1295606,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up
CINEMA.BH,FAMILY,3.9,11,16M,"1,000+",Free,0,Everyone,Entertainment,"January 30, 2018",1.2.2,4.2 and up
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 20, 2018",Varies with device,Varies with device
Water Drink Reminder,HEALTH_AND_FITNESS,4.6,524299,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 29, 2018",Varies with device,Varies with device
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",Free,0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up
Ev Dizayn,LIFESTYLE,3.6,30,5.2M,"5,000+",Free,0,Everyone,Lifestyle,"March 4, 2015",1.0,4.0 and up
Geometry Dash Meltdown,GAME,4.6,1591129,48M,"50,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.01,4.0 and up
Travelmoji,FAMILY,3.9,13,10M,500+,Free,0,Everyone,Education,"June 24, 2016",2.0,4.3 and up
C3-C4-PİCASSO-ELYSEE RACİNG,GAME,,12,48M,"1,000+",Free,0,Everyone,Arcade,"February 12, 2017","1,01",4.0 and up
All of the parking lot - National Park application (parking lot search / parking sharing / discount payment),AUTO_AND_VEHICLES,4.0,1754,14M,"500,000+",Free,0,Everyone,Auto & Vehicles,"June 2, 2018",2.3.4,4.0 and up
Google Allo,COMMUNICATION,4.3,347086,Varies with device,"10,000,000+",Free,0,Everyone,Communication,"January 23, 2018",Varies with device,4.1 and up
BK Formula Calculator 2,TOOLS,,4,12M,100+,Free,0,Everyone,Tools,"August 7, 2016",0.0.1,4.2 and up
Duaa Ek Ibaadat,BOOKS_AND_REFERENCE,4.9,122,26M,"5,000+",Free,0,Everyone,Books & Reference,"April 10, 2016",1.5,2.2 and up
Candy Crush Saga,GAME,4.4,22426677,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
Google Pay,FINANCE,4.2,348132,Varies with device,"100,000,000+",Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device
EZ File Manager(Root Explorer),PRODUCTIVITY,3.5,626,1.2M,"100,000+",Free,0,Everyone,Productivity,"June 23, 2015",1.1,3.2 and up
Jenga® AR,FAMILY,2.9,53,82M,"10,000+",Free,0,Everyone,Puzzle,"March 17, 2018",1.0.1,7.0 and up
World Newspapers,NEWS_AND_MAGAZINES,4.4,185884,7.5M,"1,000,000+",Free,0,Mature 17+,News & Magazines,"September 17, 2017",3.1.9,4.1 and up
Alpha Bank CY,FINANCE,4.7,39,20M,"1,000+",Free,0,Everyone,Finance,"March 20, 2018",1.11,4.3 and up
CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,,2,17M,10+,Paid,$5.99,Everyone,Books & Reference,"November 2, 2016",Android 2.1 - 2015,1.6 and up
4 Paws PH,MEDICAL,,1,29M,5+,Free,0,Everyone,Medical,"July 25, 2018",300000.1.11,4.0.3 and up
Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up
PJ Masks: HQ,FAMILY,4.1,13731,55M,"1,000,000+",Free,0,Everyone,Entertainment;Action & Adventure,"June 22, 2018",1.2.1,4.0 and up
VITAS Hospice Referral App for Healthcare Pros,MEDICAL,4.4,27,15M,"5,000+",Free,0,Everyone,Medical,"July 20, 2018",2.5.0 b665,5.0 and up
Bejeweled Classic,FAMILY,4.4,203101,Varies with device,"5,000,000+",Free,0,Everyone,Casual,"May 31, 2018",Varies with device,4.1 and up
Aura Hair Group BC,BEAUTY,,0,Varies with device,100+,Free,0,Everyone,Beauty,"April 23, 2018",Varies with device,4.0.3 and up
gardening ideas flower diy,HOUSE_AND_HOME,,0,5.6M,100+,Free,0,Everyone,House & Home,"May 29, 2017",1.0,2.3 and up
Fr Lupupa Sermons,BUSINESS,4.8,19,21M,100+,Free,0,Everyone,Business,"June 12, 2018",1.0,4.4 and up
Ag PhD Soybean Diseases,BOOKS_AND_REFERENCE,,0,5.9M,"1,000+",Free,0,Everyone,Books & Reference,"May 8, 2017",1.0.3,4.0.3 and up
Zdravei.BG,SOCIAL,,6,6.1M,"1,000+",Free,0,Mature 17+,Social,"January 8, 2018",3.7.17,4.1 and up
CB SmartCAR Monitor,TOOLS,,1,514k,10+,Free,0,Everyone,Tools,"July 20, 2017",4.0,4.3 and up
Gods by Night,DATING,,104,12M,"1,000+",Free,0,Mature 17+,Dating,"July 22, 2018",3.5.4.2.3,4.1 and up
Amazon Drive,PRODUCTIVITY,4.4,18669,4.1M,"1,000,000+",Free,0,Everyone,Productivity,"January 8, 2018",1.9.1.147.0-google,4.2 and up
A hundred,DATING,4.1,236,8.8M,"10,000+",Free,0,Mature 17+,Dating,"March 29, 2018",3.9.2,4.0.3 and up
VetCode,MEDICAL,4.9,28,5.7M,"5,000+",Free,0,Everyone,Medical,"July 7, 2018",1.0,4.4 and up
GATE CS Engineering 2019 Exam Prep App,FAMILY,4.2,162,6.2M,"10,000+",Free,0,Everyone,Education,"February 15, 2018",Y4W-GATE_CS-5.0.0,4.1 and up
BBM - Free Calls & Messages,COMMUNICATION,4.3,12843436,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,4.0.3 and up
mobLee Events,EVENTS,,11,11M,"5,000+",Free,0,Everyone,Events,"May 30, 2018",3.05.30.16,4.1 and up
MyRadar NOAA Weather Radar Ad Free,WEATHER,4.5,3005,26M,"10,000+",Paid,$2.99,Everyone,Weather,"August 4, 2018",7.1.4,4.0.3 and up
Number Counting games for toddler preschool kids,FAMILY,4.3,1024,Varies with device,"1,000,000+",Free,0,Everyone,Educational;Education,"May 28, 2018",Varies with device,Varies with device
Draft Simulator for FUT 18,SPORTS,4.6,162933,100M,"5,000,000+",Free,0,Everyone,Sports,"May 11, 2018",25.7,4.1 and up
BankMobile Vibe App,FINANCE,4.3,14627,23M,"1,000,000+",Free,0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up
HD Camera - Quick Snap Photo & Video,PHOTOGRAPHY,4.5,21841,7.7M,"1,000,000+",Free,0,Everyone,Photography,"July 24, 2018",1.6.4,4.2 and up
Beautiful Widgets Free,PERSONALIZATION,3.9,25037,14M,"1,000,000+",Free,0,Everyone,Personalization,"October 20, 2016",5.7.6,2.3 and up
PagesJaunes - local search,TRAVEL_AND_LOCAL,3.8,43935,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 1, 2018",8.13.3,5.0 and up
WatchESPN,SPORTS,4.1,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up
CV maker for Job Applications and Resume Maker,TOOLS,4.2,75,25M,"10,000+",Free,0,Everyone,Tools,"January 31, 2018",1.1,4.0 and up
EX File Explorer File Manager,PRODUCTIVITY,4.0,4660,5.9M,"1,000,000+",Free,0,Everyone,Productivity,"October 6, 2016",1.0,4.0 and up
CompactiMa EC pH Calibration,BOOKS_AND_REFERENCE,,0,8.4M,100+,Free,0,Everyone,Books & Reference,"December 22, 2016",1.1.2,4.1 and up
How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564,9.2M,"100,000+",Free,0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up
GialloZafferano: Recipes,FOOD_AND_DRINK,4.3,30224,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"May 28, 2018",Varies with device,Varies with device
Mesure CI,TOOLS,,9,6.6M,500+,Free,0,Everyone,Tools,"October 4, 2016",1.0.1,4.0 and up
"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60M,"10,000,000+",Free,0,Everyone,Productivity,"July 18, 2018",7.3.30,4.1 and up
Dating White Girls,DATING,,0,3.6M,50+,Free,0,Mature 17+,Dating,"July 20, 2018",1.0,4.0 and up
Mukwonago AH,MEDICAL,,1,29M,100+,Free,0,Everyone,Medical,"June 29, 2017",300000.0.85,4.0.3 and up
Podcast App: Free & Offline Podcasts by Player FM,NEWS_AND_MAGAZINES,4.6,66407,19M,"1,000,000+",Free,0,Teen,News & Magazines,"July 25, 2018",4.1.0.72,4.0 and up
DV Portfolio,TOOLS,,0,16M,50+,Free,0,Everyone,Tools,"October 23, 2017",1.0,4.1 and up
EZ Receipts,FINANCE,4.0,2187,Varies with device,"100,000+",Free,0,Everyone,Finance,"August 1, 2018",Varies with device,Varies with device
Van Nien 2018 - Lich Van su & Lich Am,LIFESTYLE,4.4,3829,23M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 1, 2018",3.9.3,4.1 and up
B y H Niños ES,BOOKS_AND_REFERENCE,4.6,53,16M,"5,000+",Free,0,Everyone,Books & Reference,"September 22, 2015",1.0.2,2.3 and up
AE Air Hockey,SPORTS,3.8,926,7.6M,"50,000+",Free,0,Everyone,Sports,"August 1, 2013",1.0.0,2.2 and up
TED,EDUCATION,4.6,181893,18M,"10,000,000+",Free,0,Everyone 10+,Education,"July 27, 2018",3.2.5,4.1 and up
AB Crush Match 3,FAMILY,4.3,96,54M,"10,000+",Free,0,Everyone,Casual,"February 23, 2017",1.1,2.3 and up
CA Mobile OTP,TOOLS,3.3,688,5.5M,"100,000+",Free,0,Everyone,Tools,"September 5, 2017",2.3.5,2.3.3 and up
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",Free,0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483782,20M,"10,000,000+",Free,0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up
F-Secure AV Test,TOOLS,4.5,1250,241k,"50,000+",Free,0,Everyone,Tools,"March 6, 2018",1.0.1,4.0.3 and up
Brick Breaker BR,GAME,5.0,7,19M,5+,Free,0,Everyone,Arcade,"July 23, 2018",1.0,4.1 and up
CG Wallpapers,FAMILY,4.5,11,3.5M,500+,Free,0,Mature 17+,Entertainment,"June 19, 2018",12.1,4.0.3 and up
Message AI - Write Better Messages (Free),SOCIAL,3.7,3,7.9M,100+,Free,0,Everyone,Social,"July 4, 2018",1.3.1-lite,5.0 and up
CE AR LOG,LIFESTYLE,,0,23M,1+,Free,0,Everyone,Lifestyle,"July 11, 2018",1.0.1,4.1 and up
FreedomPop Friends for Free Data,TOOLS,4.4,58,2.5M,"5,000+",Free,0,Everyone,Tools,"July 24, 2018",2017.07.24,4.1 and up
Virtual Brain Surgery Simulator : Kid ER Emergency,FAMILY,3.8,20,55M,"5,000+",Free,0,Teen,Educational,"February 23, 2018",1.1,4.0 and up
iGun Pro -The Original Gun App,GAME,4.2,249308,55M,"10,000,000+",Free,0,Everyone,Arcade,"September 7, 2017",5.26,2.3 and up
Daily Ab Workout - Core & Abs Fitness Exercises,HEALTH_AND_FITNESS,4.4,44939,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device
Notepad & To do list,PRODUCTIVITY,4.3,226295,4.2M,"10,000,000+",Free,0,Everyone,Productivity,"June 6, 2018",4.3.19,2.3.3 and up
DK TEL Dialer,COMMUNICATION,,0,4.2M,50+,Free,0,Everyone,Communication,"November 26, 2017",3.8.8,2.2 and up
Spacecraft AR,FAMILY,4.4,83,85M,"10,000+",Free,0,Everyone,Education,"June 28, 2018",1.2,7.0 and up
Penny Finder,SHOPPING,4.2,470,4.1M,"10,000+",Paid,$2.99,Everyone,Shopping,"July 17, 2018",1.3.7,4.1 and up
Rope'n'Fly 3 - Dusk Till Dawn,GAME,4.0,166033,23M,"10,000,000+",Free,0,Everyone 10+,Arcade,"January 31, 2018",3.6,2.3 and up
AB Click2Shop,SHOPPING,3.8,454,18M,"100,000+",Free,0,Everyone,Shopping,"June 26, 2018",1.1.0.0,4.1 and up
BZ Reminder PRO,BUSINESS,4.8,726,5.4M,"1,000+",Paid,$3.99,Everyone,Business,"December 20, 2017",2.3.3,4.1 and up
CE Genius Nurses Edition,MEDICAL,,0,5.1M,1+,Paid,$3.99,Everyone,Medical,"June 1, 2018",1.5,4.0.3 and up
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",Free,0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up
Children Educational Game Full,FAMILY,4.7,30,Varies with device,"1,000+",Paid,$7.49,Everyone,Educational;Education,"May 16, 2018",Varies with device,Varies with device
Manga Rock - Best Manga Reader,COMICS,4.4,238970,28M,"1,000,000+",Free,0,Teen,Comics,"July 9, 2018",3.4.3_world,5.0 and up
Netflix,FAMILY,4.4,5453997,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,Varies with device
au,FAMILY,3.2,9126,5.8M,"1,000,000+",Free,0,Everyone,Strategy,"June 8, 2016",1.0.9,4.0 and up
AT&T FamilyMap®,TOOLS,3.5,21592,25M,"10,000,000+",Free,0,Everyone,Tools,"October 24, 2017",10.1.1,4.0.3 and up
InstaBeauty -Makeup Selfie Cam,PHOTOGRAPHY,4.3,654418,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"February 1, 2018",Varies with device,4.0.3 and up
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21M,"500,000+",Free,0,Everyone,Beauty,"July 12, 2018",1.0.6,4.0.3 and up
CW BLE Peripheral Simulator,COMMUNICATION,,2,1.5M,500+,Free,0,Everyone,Communication,"March 8, 2017",1.0,4.4 and up
Accounting App - Zoho Books,BUSINESS,4.5,3079,8.5M,"100,000+",Free,0,Everyone,Business,"August 2, 2018",5.20.7,4.1 and up
BN Pro RobotoXL HD Text,LIBRARIES_AND_DEMO,4.3,15,460k,"1,000+",Free,0,Everyone,Libraries & Demo,"February 5, 2017",2.3.2,1.6 and up
Blackjack Verite Drills,GAME,4.6,17,4.7M,100+,Paid,$14.00,Teen,Casino,"July 9, 2017",1.1.10,3.0 and up
Squeezy CF,MEDICAL,,0,1.4M,10+,Paid,$2.99,Everyone,Medical,"April 26, 2017",1.2.11,4.0 and up
DF@realtime,BUSINESS,4.3,24,8.0M,"1,000+",Free,0,Everyone,Business,"October 26, 2017",6.0.8.2.GM,3.2 and up
Manga Net – Best Online Manga Reader,COMICS,4.1,1010,11M,"50,000+",Free,0,Mature 17+,Comics,"July 7, 2018",1.5,4.1 and up
All Video Downloader,VIDEO_PLAYERS,3.8,165723,1.6M,"10,000,000+",Free,0,Everyone,Video Players & Editors,"August 4, 2018",7.5.9,4.0 and up
DHgate-Shop Wholesale Prices,SHOPPING,4.5,104068,37M,"5,000,000+",Free,0,Teen,Shopping,"August 1, 2018",4.5.1,4.1 and up
Morse Player,FAMILY,5.0,12,2.4M,100+,Paid,$1.99,Everyone,Education,"January 23, 2017",2.1.1,3.0 and up
Plants vs. Zombies™ Heroes,FAMILY,4.4,379415,68M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"June 26, 2018",1.28.01,4.1 and up
WeFi - Free Fast WiFi Connect & Find Wi-Fi Map,COMMUNICATION,4.0,13469,5.1M,"1,000,000+",Free,0,Everyone,Communication,"June 5, 2018",4.7.0.2200000,4.0 and up
ROBLOX,FAMILY,4.5,4450855,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up
